"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 29-Dec-2023"
"NIFTY TOTAL MARKET","12,668.40","12,712.55","12,569.45","12,671.80","12,619.10","-","-52.70","-0.42","3,31,08,24,045","1,23,958.34","13,842.60","6,252.10","-1.44","15.66"
"ATGL","676.00","781.15","674.60","679.30","781.15","-","101.85","14.99","61,92,036","456.32","1,190.00","545.75","-7.53","-23.97"
"BAJAJHLDNG","11,300.00","13,238.00","11,211.95","11,300.90","12,970.00","-","1,669.10","14.77","6,85,958","847.57","13,238.00","7,620.00","20.66","64.58"
"ITI","327.70","389.00","325.70","328.20","375.10","-","46.90","14.29","5,87,54,985","2,188.51","404.00","210.00","32.30","24.51"
"ASTRAZEN","6,358.60","7,594.00","6,312.75","6,358.60","7,251.00","-","892.40","14.03","7,45,484","529.18","8,139.00","4,785.00","11.78","32.76"
"IREDA","196.94","222.50","195.32","196.94","217.24","-","20.30","10.31","2,71,05,385","574.23","310.00","95.55","6.49","112.52"
"PFIZER","4,830.00","5,469.00","4,780.00","4,873.95","5,340.00","-","466.05","9.56","3,07,747","160.38","6,451.15","3,950.00","0.99","25.69"
"POLYMED","2,527.75","2,755.00","2,519.40","2,527.75","2,751.95","-","224.20","8.87","2,45,543","63.13","3,357.80","1,361.00","-5.85","75.84"
"UTIAMC","1,256.65","1,365.70","1,233.25","1,249.85","1,349.70","-","99.85","7.99","5,77,807","76.09","1,403.65","802.00","4.07","56.01"
"KNRCON","317.40","344.15","313.30","315.25","340.40","-","25.15","7.98","39,39,034","132.06","415.40","236.75","4.38","33.01"
"CREDITACC","850.00","915.45","837.70","839.65","906.00","-","66.35","7.90","24,23,079","216.25","1,790.75","810.00","0.80","-43.05"
"IRFC","146.05","158.00","144.70","146.22","157.60","-","11.38","7.78","4,06,75,811","615.79","229.00","96.05","2.69","54.35"
"GODREJIND","1,130.15","1,243.40","1,125.00","1,130.15","1,214.00","-","83.85","7.42","3,18,794","37.58","1,314.00","702.00","11.95","61.82"
"CRISIL","5,586.05","6,099.90","5,523.00","5,586.05","6,000.00","-","413.95","7.41","1,03,280","60.65","6,099.90","3,660.70","11.72","38.18"
"HAPPSTMNDS","700.80","773.80","696.05","700.45","752.00","-","51.55","7.36","75,80,212","573.72","961.00","691.85","3.65","-16.33"
"INOXGREEN","162.00","177.00","162.00","163.97","175.98","-","12.01","7.32","40,37,124","70.15","224.65","98.70","18.14","66.69"
"ADANIENT","2,425.00","2,610.00","2,421.95","2,409.95","2,585.00","-","175.05","7.26","78,25,097","1,994.66","3,743.90","2,025.00","5.25","-9.01"
